provider,api_title,doc_url,category,source_field,enum_value,value_order,service_tier,detail_parse_status
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,aspectRatio,16:9,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,aspectRatio,9:16,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,duration,4,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,duration,6,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,duration,8,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,resolution,1080p,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,resolution,4k,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,Video,resolution,1080p,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,Video,resolution,1080p,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,aspectRatio,16:9,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,aspectRatio,9:16,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,duration,4,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,duration,6,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,duration,8,3,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,resolution,1080p,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,resolution,4k,3,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频X-编辑视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766722.md,Video,resolution,720p,1,official_stable,parsed_html
runninghub,全能视频X-编辑视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766722.md,Video,resolution,480p,2,official_stable,parsed_html
runninghub,全能视频X-编辑视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766722.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频X-编辑视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766722.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频X-编辑视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766722.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频X-编辑视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766722.md,Video,__task_status,FAILED,4,official_stable,parsed_html
