provider,model_title,model_url,model_key_inferred,source_field,source_enum_value,standard_dimension,standard_value,confidence,note
kie,google/imagen4,https://docs.kie.ai/market/google/imagen4.md,google/imagen4,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4,https://docs.kie.ai/market/google/imagen4.md,google/imagen4,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,3:2,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,3:4,HIGH,std_to_api:exact
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,4:3,HIGH,std_to_api:exact
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4-fast,https://docs.kie.ai/market/google/imagen4-fast.md,google/imagen4-fast,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,3:2,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,3:4,HIGH,std_to_api:exact
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,4:3,HIGH,std_to_api:exact
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,google/imagen4-ultra,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,3:2,ASPECT_RATIO,16:9,MEDIUM,std_to_api:nearest_ratio
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,3:2,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,2:3,ASPECT_RATIO,2:3,HIGH,std_to_api:exact
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,3:2,ASPECT_RATIO,3:2,HIGH,std_to_api:exact
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,2:3,ASPECT_RATIO,3:4,MEDIUM,std_to_api:nearest_ratio
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,3:2,ASPECT_RATIO,4:3,MEDIUM,std_to_api:nearest_ratio
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,2:3,ASPECT_RATIO,9:16,MEDIUM,std_to_api:nearest_ratio
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,2:3,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,gpt-image/1-5,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,gpt-image/1-5,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,2:3,ASPECT_RATIO,2:3,HIGH,std_to_api:exact
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,3:2,ASPECT_RATIO,3:2,HIGH,std_to_api:exact
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,2:3,ASPECT_RATIO,3:4,MEDIUM,std_to_api:nearest_ratio
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,3:2,ASPECT_RATIO,4:3,MEDIUM,std_to_api:nearest_ratio
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
