"field","title","url","allowed_values","value_count"
"resolution","Infinitalk - From Audio","https://docs.kie.ai/market/infinitalk/from-audio.md","480p; 720p","2"
"resolution","Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","1080p; 720p","2"
"resolution","Seedream4.0 - Edit","https://docs.kie.ai/market/seedream/seedream-v4-edit.md","1k; 2k; 4k","3"
"resolution","Seedream4.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream-v4-text-to-image.md","1k; 2k; 4k","3"
"resolution","Wan - 2.2 A14B Speech to Video Turbo","https://docs.kie.ai/market/wan/2-2-a14b-speech-to-video-turbo.md","480p; 580p; 720p","3"
"resolution","Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","1080p; 720p","2"
"resolution","Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","1080p; 720p","2"
"resolution","Wan - Animate Move","https://docs.kie.ai/market/wan/2-2-animate-move.md","480p; 580p; 720p","3"
"resolution","Wan - Animate Replace","https://docs.kie.ai/market/wan/2-2-animate-replace.md","480p; 580p; 720p","3"
"resolution","Wan - Image to Video","https://docs.kie.ai/market/wan/2-2-a14b-image-to-video-turbo.md","480p; 720p","2"
"resolution","Wan - Text to Video","https://docs.kie.ai/market/wan/2-2-a14b-text-to-video-turbo.md","480p; 720p","2"
"resolution","Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","1080p; 720p","2"
"resolution","Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","1080p; 720p","2"
"resolution","Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","1080p; 720p","2"
