"field","title","url","allowed_values","value_count"
"model","elevenlabs/audio-isolation","https://docs.kie.ai/market/elevenlabs/audio-isolation.md","elevenlabs/audio-isolation","1"
"model","elevenlabs/speech-to-text","https://docs.kie.ai/market/elevenlabs/speech-to-text.md","elevenlabs/speech-to-text","1"
"model","elevenlabs/text-to-speech-multilingual-v2","https://docs.kie.ai/market/elevenlabs/text-to-speech-multilingual-v2.md","elevenlabs/text-to-speech-multilingual-v2","1"
"model","elevenlabs/text-to-speech-turbo-2-5","https://docs.kie.ai/market/elevenlabs/text-to-speech-turbo-2-5.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; elevenlabs/text-to-speech-turbo-2-5","11"
"model","Flux-2 - Image to Image","https://docs.kie.ai/market/flux2/flex-image-to-image.md","1:1; 16:9; 2:3; 200; 3:2; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; auto; flux-2/flex-image-to-image","19"
"model","Flux-2 - Pro Image to Image","https://docs.kie.ai/market/flux2/pro-image-to-image.md","1:1; 16:9; 2:3; 200; 3:2; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; auto; flux-2/pro-image-to-image","19"
"model","Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","1:1; 16:9; 2:3; 200; 3:2; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; flux-2/pro-text-to-image","18"
"model","Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","1:1; 16:9; 2:3; 200; 3:2; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; flux-2/flex-text-to-image","18"
"model","Gemini  2.5 Pro","https://docs.kie.ai/market/gemini/gemini-2-5-pro.md","assistant; developer; function; high; low; object; system; text; tool; user","10"
"model","Gemini 2.5 Flash","https://docs.kie.ai/market/gemini/gemini-2-5-flash.md","assistant; developer; function; object; system; text; tool; user","8"
"model","Gemini 3 Pro","https://docs.kie.ai/market/gemini/gemini-3-pro.md","assistant; developer; function; high; low; object; system; text; tool; user","10"
"model","Generate 4o Image","https://docs.kie.ai/4o-image-api/generate-4-o-image.md","1:1; 2:3; 3:2; FLUX_MAX; GPT_IMAGE_1","5"
"model","Generate AI Video","https://docs.kie.ai/runway-api/generate-ai-video.md","200; 401; 404; 422; 451; 455; 500","7"
"model","Generate Aleph Video","https://docs.kie.ai/runway-api/generate-aleph-video.md","1:1; 16:9; 21:9; 3:4; 4:3; 9:16","6"
"model","Generate or Edit Image","https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md","16:9; 200; 21:9; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; flux-kontext-max; flux-kontext-pro","15"
"model","Google - imagen4","https://docs.kie.ai/market/google/imagen4.md","1:1; 16:9; 3:4; 4:3; 9:16; google/imagen4","6"
"model","Google - imagen4-fast","https://docs.kie.ai/market/google/imagen4-fast.md","1:1; 16:9; 3:4; 4:3; 9:16; google/imagen4-fast","6"
"model","Google - imagen4-ultra","https://docs.kie.ai/market/google/imagen4-ultra.md","1:1; 16:9; 3:4; 4:3; 9:16; google/imagen4-ultra","6"
"model","GPT Image-1.5 - Image to Image","https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md","1:1; 2:3; 200; 3:2; 401; 402; 404; 422; 429; 455; 500; 501; 505; gpt-image/1.5-image-to-image","14"
"model","GPT Image-1.5 - Text to Image","https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md","1:1; 2:3; 200; 3:2; 401; 402; 404; 422; 429; 455; 500; 501; 505; gpt-image/1.5-text-to-image","14"
"model","GPT-5-2","https://docs.kie.ai/market/chat/gpt-5-2.md","assistant; developer; high; low; object; system; text; tool; user","9"
"model","Grok Imagine - image to image","https://docs.kie.ai/market/grok-imagine/image-to-image.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; grok-imagine/image-to-image","11"
"model","Grok Imagine - Text to Image","https://docs.kie.ai/market/grok-imagine/text-to-image.md","1:1; 16:9; 2:3; 200; 3:2; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; grok-imagine/text-to-image","16"
"model","Grok Imagine - Video Upscale","https://docs.kie.ai/market/grok-imagine/upscale.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; grok-imagine/upscale","11"
"model","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; grok-imagine/image-to-video","11"
"model","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","1:1; 16:9; 2:3; 200; 3:2; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; grok-imagine/text-to-video","16"
"model","Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; hailuo/2-3-image-to-video-pro","13"
"model","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; hailuo/2-3-image-to-video-standard","13"
"model","Hailuo Pro Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-pro.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; hailuo/02-image-to-video-pro","11"
"model","Hailuo Pro Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-pro.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; hailuo/02-text-to-video-pro","11"
"model","Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; hailuo/02-image-to-video-standard","13"
"model","Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; hailuo/02-text-to-video-standard","13"
"model","Ideogram - Character","https://docs.kie.ai/market/ideogram/character.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; BALANCED; ideogram/character; QUALITY; TURBO","14"
"model","Ideogram - Character Edit","https://docs.kie.ai/market/ideogram/character-edit.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; BALANCED; ideogram/character-edit; QUALITY; TURBO","14"
"model","Ideogram - Character Remix","https://docs.kie.ai/market/ideogram/character-remix.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; BALANCED; ideogram/character-remix; QUALITY; TURBO","14"
"model","Ideogram - V3 Reframe","https://docs.kie.ai/market/ideogram/v3-reframe.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; ideogram/v3-reframe; landscape_16_9; landscape_4_3; portrait_16_9; portrait_4_3; square; square_hd","17"
"model","Infinitalk - From Audio","https://docs.kie.ai/market/infinitalk/from-audio.md","480p; 720p; infinitalk/from-audio","3"
