"field_path","title","url","enum_values","value_count"
"paths.post.model","Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","bytedance/v1-pro-image-to-video","1"
"paths.post.model","elevenlabs/audio-isolation","https://docs.kie.ai/market/elevenlabs/audio-isolation.md","elevenlabs/audio-isolation","1"
"paths.post.model","elevenlabs/speech-to-text","https://docs.kie.ai/market/elevenlabs/speech-to-text.md","elevenlabs/speech-to-text","1"
"paths.post.model","elevenlabs/text-to-speech-multilingual-v2","https://docs.kie.ai/market/elevenlabs/text-to-speech-multilingual-v2.md","elevenlabs/text-to-speech-multilingual-v2","1"
"paths.post.model","elevenlabs/text-to-speech-turbo-2-5","https://docs.kie.ai/market/elevenlabs/text-to-speech-turbo-2-5.md","elevenlabs/text-to-speech-turbo-2-5","1"
"paths.post.model","Flux-2 - Image to Image","https://docs.kie.ai/market/flux2/flex-image-to-image.md","flux-2/flex-image-to-image","1"
"paths.post.model","Flux-2 - Pro Image to Image","https://docs.kie.ai/market/flux2/pro-image-to-image.md","flux-2/pro-image-to-image","1"
"paths.post.model","Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","flux-2/pro-text-to-image","1"
"paths.post.model","Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","flux-2/flex-text-to-image","1"
"paths.post.model","Generate or Edit Image","https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md","flux-kontext-max; flux-kontext-pro","2"
"paths.post.model","Google - imagen4","https://docs.kie.ai/market/google/imagen4.md","google/imagen4","1"
"paths.post.model","Google - imagen4-fast","https://docs.kie.ai/market/google/imagen4-fast.md","google/imagen4-fast","1"
"paths.post.model","Google - imagen4-ultra","https://docs.kie.ai/market/google/imagen4-ultra.md","google/imagen4-ultra","1"
"paths.post.model","GPT Image-1.5 - Image to Image","https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md","gpt-image/1.5-image-to-image","1"
"paths.post.model","GPT Image-1.5 - Text to Image","https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md","gpt-image/1.5-text-to-image","1"
"paths.post.model","Grok Imagine - image to image","https://docs.kie.ai/market/grok-imagine/image-to-image.md","grok-imagine/image-to-image","1"
"paths.post.model","Grok Imagine - Text to Image","https://docs.kie.ai/market/grok-imagine/text-to-image.md","grok-imagine/text-to-image","1"
"paths.post.model","Grok Imagine - Video Upscale","https://docs.kie.ai/market/grok-imagine/upscale.md","grok-imagine/upscale","1"
"paths.post.model","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","grok-imagine/image-to-video","1"
"paths.post.model","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","grok-imagine/text-to-video","1"
"paths.post.model","Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","hailuo/2-3-image-to-video-pro","1"
"paths.post.model","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","hailuo/2-3-image-to-video-standard","1"
"paths.post.model","Hailuo Pro Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-pro.md","hailuo/02-image-to-video-pro","1"
"paths.post.model","Hailuo Pro Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-pro.md","hailuo/02-text-to-video-pro","1"
"paths.post.model","Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","hailuo/02-image-to-video-standard","1"
"paths.post.model","Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","hailuo/02-text-to-video-standard","1"
"paths.post.model","Ideogram - Character","https://docs.kie.ai/market/ideogram/character.md","ideogram/character","1"
"paths.post.model","Ideogram - Character Edit","https://docs.kie.ai/market/ideogram/character-edit.md","ideogram/character-edit","1"
"paths.post.model","Ideogram - Character Remix","https://docs.kie.ai/market/ideogram/character-remix.md","ideogram/character-remix","1"
"paths.post.model","Ideogram - V3 Reframe","https://docs.kie.ai/market/ideogram/v3-reframe.md","ideogram/v3-reframe","1"
"paths.post.model","Infinitalk - From Audio","https://docs.kie.ai/market/infinitalk/from-audio.md","infinitalk/from-audio","1"
"paths.post.model","Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","kling/v2-1-master-image-to-video","1"
"paths.post.model","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","kling/v2-5-turbo-text-to-video-pro","1"
"paths.post.model","Kling 2.6 Image to Video","https://docs.kie.ai/market/kling/image-to-video.md","kling-2.6/image-to-video","1"
"paths.post.model","Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","kling-2.6/motion-control","1"
"paths.post.model","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","kling-2.6/text-to-video","1"
"paths.post.model","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","kling-3.0/video","1"
"paths.post.model","Kling AI Avatar Pro","https://docs.kie.ai/market/kling/ai-avatar-pro.md","kling/ai-avatar-pro","1"
"paths.post.model","Kling AI Avatar Standard","https://docs.kie.ai/market/kling/ai-avatar-standard.md","kling/ai-avatar-standard","1"
"paths.post.model","Kling V2.1 Master Image to Video","https://docs.kie.ai/market/kling/v2-1-master-image-to-video.md","kling/v2-1-master-image-to-video","1"
"paths.post.model","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","kling/v2-1-master-text-to-video","1"
"paths.post.model","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","kling/v2-1-pro","1"
"paths.post.model","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","kling/v2-1-standard","1"
"paths.post.model","Qwen - Image Edit","https://docs.kie.ai/market/qwen/image-edit.md","qwen/image-edit","1"
"paths.post.model","Qwen - Image to Image","https://docs.kie.ai/market/qwen/image-to-image.md","qwen/image-to-image","1"
"paths.post.model","Qwen - Text to Image","https://docs.kie.ai/market/qwen/text-to-image.md","qwen/text-to-image","1"
"paths.post.model","Recraft - Crisp Upscale","https://docs.kie.ai/market/recraft/crisp-upscale.md","recraft/crisp-upscale","1"
"paths.post.model","Recraft - Remove Background","https://docs.kie.ai/market/recraft/remove-background.md","recraft/remove-background","1"
"paths.post.model","Seedream3.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream.md","bytedance/seedream","1"
"paths.post.model","Seedream4.0 - Edit","https://docs.kie.ai/market/seedream/seedream-v4-edit.md","bytedance/seedream-v4-edit","1"
"paths.post.model","Seedream4.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream-v4-text-to-image.md","bytedance/seedream-v4-text-to-image","1"
"paths.post.model","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4.5-edit","1"
"paths.post.model","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","seedream/4.5-text-to-image","1"
"paths.post.model","Sora2 - Characters","https://docs.kie.ai/market/sora2/sora-2-characters.md","sora-2-characters","1"
"paths.post.model","Sora2 - Characters Pro","https://docs.kie.ai/market/sora2/sora-2-characters-pro.md","sora-2-characters-pro","1"
"paths.post.model","Sora2 - Image to Video","https://docs.kie.ai/market/sora2/sora-2-image-to-video.md","sora-2-image-to-video","1"
"paths.post.model","Sora2 - Pro Image to Video","https://docs.kie.ai/market/sora2/sora-2-pro-image-to-video.md","sora-2-pro-image-to-video","1"
"paths.post.model","Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","sora-2-pro-storyboard","1"
"paths.post.model","Sora2 - Pro Text to Video","https://docs.kie.ai/market/sora2/sora-2-pro-text-to-video.md","sora-2-pro-text-to-video","1"
"paths.post.model","Sora2 - Text to Video","https://docs.kie.ai/market/sora2/sora-2-text-to-video.md","sora-2-text-to-video","1"
"paths.post.model","Sora2 - Watermark Remover","https://docs.kie.ai/market/sora2/sora-watermark-remover.md","sora-watermark-remover","1"
"paths.post.model","Topaz - Image Upscale","https://docs.kie.ai/market/topaz/image-upscale.md","topaz/image-upscale","1"
"paths.post.model","Topaz - Video Upscale","https://docs.kie.ai/market/topaz/video-upscale.md","topaz/video-upscale","1"
"paths.post.model","Wan - 2.2 A14B Speech to Video Turbo","https://docs.kie.ai/market/wan/2-2-a14b-speech-to-video-turbo.md","wan/2-2-a14b-speech-to-video-turbo","1"
"paths.post.model","Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","wan/2-6-flash-image-to-video","1"
"paths.post.model","Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","wan/2-6-flash-video-to-video","1"
"paths.post.model","Wan - Animate Move","https://docs.kie.ai/market/wan/2-2-animate-move.md","wan/2-2-animate-move","1"
"paths.post.model","Wan - Animate Replace","https://docs.kie.ai/market/wan/2-2-animate-replace.md","wan/2-2-animate-replace","1"
"paths.post.model","Wan - Image to Video","https://docs.kie.ai/market/wan/2-2-a14b-image-to-video-turbo.md","wan/2-2-a14b-image-to-video-turbo","1"
"paths.post.model","Wan - Text to Video","https://docs.kie.ai/market/wan/2-2-a14b-text-to-video-turbo.md","wan/2-2-a14b-text-to-video-turbo","1"
"paths.post.model","Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","wan/2-6-image-to-video","1"
"paths.post.model","Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","wan/2-6-text-to-video","1"
"paths.post.model","Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","wan/2-6-video-to-video","1"
"paths.post.model","Z-Image","https://docs.kie.ai/market/z-image/z-image.md","z-image","1"
"paths.post.reasoning_effort","Claude Opus 4.5","https://docs.kie.ai/market/claude/claude-opus-4-5.md","high; low","2"
"paths.post.reasoning_effort","Claude Sonnet 4.5","https://docs.kie.ai/market/claude/claude-sonnet-4-5.md","high; low","2"
"paths.post.reasoning_effort","Gemini  2.5 Pro","https://docs.kie.ai/market/gemini/gemini-2-5-pro.md","high; low","2"
"paths.post.reasoning_effort","Gemini 3 Pro","https://docs.kie.ai/market/gemini/gemini-3-pro.md","high; low","2"
"paths.post.reasoning_effort","GPT-5-2","https://docs.kie.ai/market/chat/gpt-5-2.md","high; low","2"
