provider,model_key_inferred,model_title,model_url,source_field,standard_dimension,standard_value,mapped_api_enum_value,mapping_rule,is_mapped
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,21:9,16:9,nearest_ratio,1
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,2:3,2:3,exact,1
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:2,3:2,exact,1
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:4,3:4,exact,1
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,4:3,4:3,exact,1
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:16,9:16,exact,1
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:21,9:16,nearest_ratio,1
kie,flux2/flex-image-to-image,Flux-2 - Image to Image,https://docs.kie.ai/market/flux2/flex-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,AUTO,auto,exact,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,16:9,16:9,exact,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,21:9,16:9,nearest_ratio,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,2:3,2:3,exact,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:2,3:2,exact,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:4,3:4,exact,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,4:3,4:3,exact,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:16,9:16,exact,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:21,9:16,nearest_ratio,1
kie,flux2/flex-text-to-image,Flux-2 - Text to Image,https://docs.kie.ai/market/flux2/flex-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,AUTO,1:1,fallback_baseline,1
kie,flux2/pro-image-to-image,Flux-2 - Pro Image to Image,https://docs.kie.ai/market/flux2/pro-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,16:9,16:9,exact,1
kie,flux2/pro-image-to-image,Flux-2 - Pro Image to Image,https://docs.kie.ai/market/flux2/pro-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
kie,flux2/pro-image-to-image,Flux-2 - Pro Image to Image,https://docs.kie.ai/market/flux2/pro-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,21:9,16:9,nearest_ratio,1
kie,flux2/pro-image-to-image,Flux-2 - Pro Image to Image,https://docs.kie.ai/market/flux2/pro-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,2:3,2:3,exact,1
kie,flux2/pro-image-to-image,Flux-2 - Pro Image to Image,https://docs.kie.ai/market/flux2/pro-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:2,3:2,exact,1
