"category","title","url","model","resolution","image_size","aspect_ratio","duration","mode","quality","output_format","sound","multi_shots","image_refs"
"video","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","master","","","16:9","","","","","","",""
"video","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","pro","","","","","","","","","","yes"
"video","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","standard","","","","","","","","","","yes"
"video","Sora2 - Characters","https://docs.kie.ai/market/sora2/sora-2-characters.md","","","","","","","","","","",""
"video","Sora2 - Characters Pro","https://docs.kie.ai/market/sora2/sora-2-characters-pro.md","pro","","","","","","","","","",""
"video","Sora2 - Image to Video","https://docs.kie.ai/market/sora2/sora-2-image-to-video.md","","","","landscape","","","","","","",""
"video","Sora2 - Pro Image to Video","https://docs.kie.ai/market/sora2/sora-2-pro-image-to-video.md","pro","","standard","landscape","","","","","","","yes"
"video","Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","pro","","","landscape","","","","","","",""
"video","Sora2 - Pro Text to Video","https://docs.kie.ai/market/sora2/sora-2-pro-text-to-video.md","pro","","","landscape","","","","","","",""
"video","Sora2 - Text to Video","https://docs.kie.ai/market/sora2/sora-2-text-to-video.md","","","","landscape","","","","","","",""
"video","Sora2 - Watermark Remover","https://docs.kie.ai/market/sora2/sora-watermark-remover.md","","","","","","","","","","",""
"video","Topaz - Image Upscale","https://docs.kie.ai/market/topaz/image-upscale.md","","","","","","","","","","","yes"
"video","Topaz - Video Upscale","https://docs.kie.ai/market/topaz/video-upscale.md","","","","","","","","","","",""
"video","Wan - 2.2 A14B Speech to Video Turbo","https://docs.kie.ai/market/wan/2-2-a14b-speech-to-video-turbo.md","turbo","480p","","","","","","","","","yes"
"video","Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","","1080p","","","","","","","","false","yes"
"video","Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","","1080p","","","","","","","","false",""
"video","Wan - Animate Move","https://docs.kie.ai/market/wan/2-2-animate-move.md","","480p","","","","","","","","","yes"
"video","Wan - Animate Replace","https://docs.kie.ai/market/wan/2-2-animate-replace.md","","480p","","","","","","","","","yes"
"video","Wan - Image to Video","https://docs.kie.ai/market/wan/2-2-a14b-image-to-video-turbo.md","turbo","720p","","","","","","","","","yes"
"video","Wan - Text to Video","https://docs.kie.ai/market/wan/2-2-a14b-text-to-video-turbo.md","turbo","720p","","16:9","","","","","","",""
"video","Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","","1080p","","","","","","","","",""
"video","Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","","1080p","","","","","","","","",""
"video","Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","","1080p","","","","","","","","",""
